"player","fg.p","ft.p","3pm.p","reb.p","ast.p","stl.p","blk.p","pts.p","fg.r","ft.r","3pm.r","reb.r","ast.r","stl.r","blk.r","pts.r","ovr.r","pos.pg","pos.sg","pos.sf","pos.pf","pos.c","price","prim.pos","draft","value.y","cost.y","cost.g.o","ovr.r.ga.s","ovr.r.ga.a","ovr.r.ga.va","ovr.r.fa.s","ovr.r.fa.a","ovr.r.fa.va","cost.r.ga.s","cost.r.ga.a","cost.r.ga.va","cost.r.fa.s","cost.r.fa.a","cost.r.fa.va"
"Rondae Hollis-Jefferson",0.451,0.743,0.3,6.7,2.4,1.3,0.6,10.2,-0.48,-0.32,-0.61,1.16,0.29,1.31,0.67,0.28,2.29,FALSE,FALSE,TRUE,TRUE,FALSE,1.1,"SF",134,1,1.3,7.4840749294329,2.162,1.97,1.65,2.56,2.965,3.64,6.66697142148754,5.60075361516517,4.15100899164046,7.83464566929134,8.28420872510607,8.88158661067345
"Tristan Thompson",0.589,0.587,0,9,1.1,0.6,0.8,7.9,2.39,-3.63,-0.88,2.48,-0.29,-0.01,2.04,0.19,2.29,FALSE,FALSE,FALSE,TRUE,TRUE,1.6,"PF",107,2,1.7,7.4840749294329,1.33,-0.11,-2.51,3.672,5.745,9.2,4.10132839527217,-0.312732435364552,-6.31456519334397,11.2378198818898,16.0515275297586,22.447966158845
"Tony Snell",NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0.16,1.69,0.13,-0.15,0.48,-0.35,0.29,2.2,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,7.18994098024121,2.54,3.05,3.9,2.146,2.065,1.93,7.83261212330174,8.67121752601714,9.81147579842291,6.56763656496063,5.76960911208905,4.70919290071422
"Ty Lawson",NA,NA,NA,NA,NA,NA,NA,NA,-0.06,0.34,-0.27,-0.21,1.62,1.06,-0.62,0.29,2.14,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,6.99385168078009,2.478,2.985,3.83,1.962,1.695,1.25,7.64142237855973,8.48642108693808,9.63537238665634,6.00452140748032,4.73582927118205,3.04999540201698
"Dewayne Dedmon",NA,NA,NA,NA,NA,NA,NA,NA,1.71,-0.47,-0.88,1.38,-0.53,-0.07,1.25,-0.31,2.08,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,0,2.5,6.79776238131896,1.704,1.14,0.2,2.948,4.25,6.42,5.25463427484494,3.24104523923263,0.503152605047329,9.02208415354331,11.8744981725804,15.6647763847592
"Zach LaVine",0.439,0.819,2,3.7,3.8,1,0.2,18.1,0.05,0.59,1.26,-0.31,0.17,0.05,-0.49,0.72,2.04,TRUE,TRUE,FALSE,FALSE,FALSE,3.9,"PG",94,5,2.8,6.66703618167821,2.444,3.05,4.06,1.89,1.665,1.29,7.53657638950765,8.67121752601713,10.2139978824608,5.7841719980315,4.65200928408149,3.14759525488153
"Jamal Murray",0.43,0.85,1.6,3,2.7,0.9,0.3,11.8,-1.39,0.9,1.17,-0.04,0.4,0.36,-0.01,0.56,1.95,TRUE,TRUE,FALSE,FALSE,FALSE,1.3,"SG",114,4,2,6.37290223248653,2.444,3.185,4.42,1.662,1.23,0.51,7.53657638950765,9.05502551487363,11.119672571546,5.08639886811024,3.43661947112326,1.24439812402293
"Will Barton",0.439,0.8,1.1,3.3,2.3,0.7,0.3,9.4,-0.35,-0.23,0.67,0.18,0.67,0.26,0.13,0.57,1.92,FALSE,TRUE,TRUE,FALSE,FALSE,1,"SG",151,2,1.1,6.27485758275597,2.142,2.475,3.03,1.912,1.9,1.88,6.60529731028044,7.03647979570243,7.62276196646703,5.85150098425197,5.30859918303593,4.58719308463354
"Willy Hernangomez",0.519,0.744,0.1,8.9,2.2,0.9,0.7,10.7,1.27,-0.37,-0.81,1.41,-0.15,0.05,0.4,0.1,1.91,FALSE,FALSE,FALSE,FALSE,TRUE,1.9,"C",101,6,2.6,6.24217603284578,1.644,1.245,0.58,2.526,3.45,4.99,5.06961194122364,3.5395625638988,1.45914255463725,7.73059178149606,9.63929851656524,12.1755816448518
"Nik Stauskas",0.398,0.826,0.8,1.3,1.1,0.3,0.2,4.7,-1.42,0.41,1.47,0.02,0.54,0.17,0.26,0.44,1.9,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,6.20949448293559,2.384,3.11,4.32,1.672,1.33,0.76,7.35155405588635,8.8417988543978,10.8680962690223,5.11700295275591,3.71601942812515,1.85439720442633
"Dirk Nowitzki",0.425,0.878,1.3,5.7,1.5,0.6,0.5,13,-0.51,0.79,0.53,0.66,-0.25,-0.29,0.47,0.47,1.87,FALSE,FALSE,FALSE,TRUE,FALSE,1.3,"PF",118,6,3.1,6.11144983320503,2.084,2.405,2.94,1.994,2.18,2.49,6.42644238777985,6.83746824592499,7.39634329419573,6.10245447834646,6.09091906264123,6.07559084081783
"Cory Joseph",0.434,0.741,0.6,3.1,3.4,0.9,0.2,9,-0.12,-0.01,-0.02,0.06,1.11,0.82,-0.38,0.41,1.86,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0,1,6.07876828329484,2.076,2.4,2.94,1.772,1.64,1.42,6.40177274329701,6.8232531352266,7.39634329419573,5.4230437992126,4.58215929483101,3.46479477669129
"Richaun Holmes",0.532,0.701,0.4,3.5,1,0.6,0.7,6.5,1.61,-0.52,-0.4,0.45,-0.43,0.08,1.02,0.04,1.85,FALSE,FALSE,FALSE,TRUE,TRUE,0,"PF",186,1,1,6.04608673338466,1.58,1.175,0.5,2.466,3.39,4.93,4.87225478536092,3.34055101412136,1.25788151261832,7.54696727362205,9.47165854236411,12.029181865555
"Sean Kilpatrick",NA,NA,NA,NA,NA,NA,NA,NA,-1.11,1.04,0.99,0.29,0.31,0.17,-0.62,0.78,1.85,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,0,1.1,6.04608673338466,2.318,3.02,4.19,1.562,1.13,0.41,7.14802948890292,8.5859268618268,10.5410470757415,4.78035802165354,3.15721951412137,1.00039849186157
"Zaza Pachulia",0.497,0.782,0,6,1.7,0.8,0.3,6,0.94,0.05,-0.88,0.94,0.12,0.6,0.3,-0.23,1.84,FALSE,FALSE,FALSE,FALSE,TRUE,0,"C",172,0,1.1,6.01340518347447,1.698,1.485,1.13,2.276,2.93,4.02,5.23613204148281,4.22188787742146,2.84281221851741,6.96548966535433,8.18641874015541,9.80878521288661
"Justin Holiday",0.39,0.798,1.7,3.4,1.8,1.1,0.5,9.3,-0.49,0.3,0.85,0.01,-0.1,0.78,0.23,0.18,1.77,FALSE,TRUE,TRUE,FALSE,FALSE,0,"SG",121,0,2.1,5.78463433410316,1.98,2.295,2.82,1.72,1.645,1.52,6.10573700950293,6.52473581056043,7.09445173116733,5.26390255905512,4.59612929268111,3.70879440885265
"Marco Belinelli",0.396,0.836,1.4,2.4,2.1,0.6,0.1,9.8,-0.63,1.32,0.94,-0.22,0.23,0.14,-0.52,0.49,1.74,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,5.68658968437259,2.238,2.985,4.23,1.466,1.055,0.37,6.90133304407452,8.48642108693808,10.641677596751,4.48655880905512,2.94766954636995,0.902798638997026
"Garrett Temple",0.394,0.726,0.8,2,1.6,0.8,0.2,4.8,-0.56,0.06,0.58,-0.19,0.39,1.37,0.13,-0.07,1.71,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,5.58854503464203,1.916,2.225,2.74,1.586,1.4,1.09,5.90837985364021,6.32572426078299,6.8931906891484,4.85380782480315,3.91159939802647,2.65959599055881
"Buddy Hield",0.423,0.822,2.1,4.1,2.2,0.7,0.1,13.4,-0.84,0.38,1.76,0.24,0.04,-0.04,-0.52,0.67,1.68,FALSE,TRUE,FALSE,FALSE,FALSE,1.9,"SG",132,3,2,5.49050038491147,2.116,2.77,3.86,1.456,1.12,0.56,6.52512096571121,7.87517132690737,9.71084527741344,4.45595472440945,3.12927951842118,1.36639794010361
"Solomon Hill",NA,NA,NA,NA,NA,NA,NA,NA,-1.35,0.28,0.8,0.43,0.19,1,0.26,0.05,1.65,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,5.39245573518091,1.904,2.285,2.92,1.518,1.32,0.99,5.87137538691595,6.49630558916366,7.346028033691,4.6457000492126,3.68807943242496,2.41559635839745
"Deron Williams",0.407,0.838,1.3,2.7,5.3,0.7,0.2,10.4,-0.42,0.4,0.64,-0.38,1.82,-0.26,-0.56,0.33,1.58,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,5.1636848858096,2.152,3.01,4.44,1.308,0.9,0.22,6.63613436588399,8.55749664043003,11.1699878320507,4.00301427165354,2.51459961301702,0.536799190754989
"Marquese Chriss",0.455,0.662,1,5.2,1.5,1.2,1,11.4,-0.18,-1.71,0.4,0.63,-0.41,0.85,1.56,0.44,1.58,FALSE,FALSE,FALSE,TRUE,FALSE,2.8,"PF",76,5,2,5.1636848858096,1.236,0.72,-0.14,1.982,2.585,3.59,3.8114600725988,2.04697594056798,-0.35220682353313,6.06572957677165,7.22248888849888,8.75958679459277
"Nerlens Noel",0.538,0.639,0,6.6,1.5,1.6,1.2,9.5,1.7,-0.59,-0.88,0.36,-0.49,0.78,0.88,-0.19,1.57,FALSE,FALSE,FALSE,FALSE,TRUE,1.6,"C",127,10,7,5.13100333589941,1.178,0.59,-0.39,2.158,3.04,4.51,3.63260515009821,1.67738306240987,-0.98114757984229,6.60436146653543,8.49375869285749,11.0043834104773
"Frank Kaminsky",0.409,0.763,1.4,4.1,2,0.7,0.5,10.8,-1.64,-0.16,1.19,0.58,0.34,0.23,0.33,0.69,1.56,FALSE,FALSE,FALSE,FALSE,TRUE,1.1,"C",152,3,1.4,5.09832178598922,1.834,2.245,2.93,1.414,1.195,0.83,5.6555159976911,6.38258470357655,7.37118566394336,4.32741756889764,3.3388294861726,2.02519694693928
"Andre Roberson",NA,NA,NA,NA,NA,NA,NA,NA,0.13,-2.64,-0.08,0.91,-0.27,1.67,1.87,-0.04,1.55,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,0,1.5,5.06564023607904,0.952,0.0549999999999999,-1.44,2.132,3.005,4.46,2.93568769345797,0.156366217682276,-3.62269875634077,6.52479084645669,8.39596870790682,10.8823835943966
"Lucas Nogueira",0.576,0.692,0,1.1,0.3,0.3,0.4,1.2,1.31,-0.55,-0.83,0.11,-0.55,0.39,2.21,-0.59,1.51,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,0,1,4.93491403643829,1.124,0.545,-0.42,2.236,3.325,5.14,3.46608504983904,1.54944706612437,-1.05662047059939,6.84307332677165,9.29004857031288,12.5415810930938
"Tony Allen",NA,NA,NA,NA,NA,NA,NA,NA,0.07,-1.36,-0.61,0.85,-0.13,2.32,0.16,0.21,1.5,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,4.9022324865281,1.08,0.45,-0.6,1.716,2.04,2.58,3.33040200518342,1.27935996285499,-1.50945781514199,5.25166092519685,5.69975912283858,6.29519050976305
"Monta Ellis",0.434,0.74,0.7,2.6,3.5,1.4,0.4,10,-0.29,-0.39,-0.11,-0.09,0.9,1.18,0.09,0.19,1.48,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,0,1,4.83686938670772,1.56,1.68,1.88,1.422,1.335,1.19,4.81058067415382,4.77627719465862,4.72963448744489,4.35190083661417,3.72998942597525,2.90359562272017
"E'Twaun Moore",0.468,0.742,1.1,2.2,2.4,0.8,0.4,8.5,0,-0.01,0.49,-0.35,0.36,0.33,0.26,0.33,1.41,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,4.60809853733641,1.578,1.83,2.25,1.392,1.365,1.32,4.86608737424021,5.20273051561028,5.66046680678245,4.26008858267716,3.81380941307581,3.22079514452993
"Joel Embiid",0.471,0.787,1.1,6.7,2.5,1,2.2,17.2,0.15,0.16,-0.24,0.1,-0.37,-0.38,1.77,0.18,1.37,FALSE,FALSE,FALSE,FALSE,TRUE,21.6,"C",30,27,30.6,4.47737233769566,1.28,1.145,0.92,1.774,2.38,3.39,3.94714311725442,3.25526034993102,2.31450198321771,5.42916461614173,6.64971897664501,8.27158753027005
"Thabo Sefolosha",NA,NA,NA,NA,NA,NA,NA,NA,-0.26,-0.2,-0.15,0.24,-0.06,1.73,0.23,-0.2,1.33,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,4.34664613805491,1.248,1.125,0.92,1.372,1.435,1.54,3.84846453932306,3.19839990713747,2.31450198321771,4.19888041338583,4.00938938297714,3.75759433528492
"DeMarre Carroll",0.402,0.708,1.4,4.2,1.3,1.2,0.3,8.8,-1.18,-0.09,1.06,0.26,-0.31,1.24,0.09,0.2,1.29,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,0,1.2,4.21591993841416,1.422,1.62,1.95,1.124,0.875,0.46,4.38502930682483,4.60569586627795,4.90573789921145,3.43989911417323,2.44474962376655,1.12239830794225
"Matt Barnes",0.381,0.789,1.3,4.7,2.1,0.8,0.5,7.2,-1.19,0.09,0.67,0.81,0.59,0.26,0.06,-0.03,1.27,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,4.15055683859379,1.54,1.945,2.62,1.206,1.11,0.95,4.74890656294672,5.52967806167322,6.59129912612,3.69085260826772,3.10133952272099,2.31799650553291
"Nick Young",0.403,0.851,1.3,1.4,0.7,0.4,0.1,6.6,-0.64,0.52,2.15,-0.43,-0.43,-0.07,-0.35,0.52,1.27,FALSE,TRUE,TRUE,FALSE,FALSE,0,"SG",192,0,1.2,4.15055683859379,1.718,2.39,3.51,0.986,0.56,-0.15,5.29780615268991,6.79482291382982,8.83032821858061,3.01756274606299,1.56463975921059,-0.365999448242038
"Dwight Powell",NA,NA,NA,NA,NA,NA,NA,NA,0.84,-0.12,-0.51,0.42,-0.5,0.66,0.5,-0.05,1.26,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,4.1178752886836,1.034,0.695,0.13,1.612,2.14,3.02,3.18855154940708,1.97590038707604,0.327049193280764,4.93337844488189,5.97915907984047,7.36878889127303
"Tyson Chandler",0.613,0.706,0,9.6,1,0.6,0.6,7,1.98,-0.32,-0.88,1.59,-0.64,-0.2,-0.01,-0.29,1.24,FALSE,FALSE,FALSE,FALSE,TRUE,1,"C",144,0,1.2,4.05251218886323,0.872,0.32,-0.6,1.952,3.02,4.8,2.68899124862957,0.90976708469688,-1.50945781514199,5.97391732283465,8.43787870145711,11.7119823437452
"Vince Carter",NA,NA,NA,NA,NA,NA,NA,NA,-1.18,-0.05,1.12,0.02,0.13,0.63,0.4,0.09,1.17,FALSE,TRUE,FALSE,FALSE,FALSE,0,"SG",195,NA,NA,3.82374133949192,1.41,1.77,2.37,1.018,0.79,0.41,4.34802484010057,5.03214918722962,5.96235836981084,3.11549581692913,2.20725966031494,1.00039849186157
"Kenneth Faried",0.553,0.697,0,3.3,0.6,0.3,0.3,4.7,1.46,-0.95,-0.88,1.21,-0.45,0.11,0.54,0.1,1.14,FALSE,FALSE,FALSE,TRUE,FALSE,0,"PF",170,0,1.2,3.72569668976135,0.684,0,-1.14,1.782,2.745,4.35,2.10925460328283,0,-2.86796984876977,5.45364788385827,7.66952881970191,10.6139839990191
"Zach Randolph",0.453,0.76,0.2,7.8,1.7,0.6,0.1,12.7,-0.26,-0.5,-0.51,1.89,0.05,-0.04,-0.49,1,1.14,FALSE,FALSE,FALSE,TRUE,FALSE,2.1,"PF",103,2,4.6,3.72569668976135,0.948,0.66,0.18,1.368,1.71,2.28,2.92335287121655,1.87639461218731,0.452837344542596,4.18663877952756,4.77773926473234,5.56319161327897
"Joe Johnson",0.417,0.821,1.1,2.5,2,0.5,0.1,7.8,-0.49,0.25,1.01,0.1,0.21,-0.1,-0.21,0.36,1.13,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,0,1.3,3.69301513985117,1.424,1.865,2.6,1.01,0.83,0.53,4.39119671794554,5.302236290499,6.54098386561527,3.0910125492126,2.31901964311569,1.2931980504552
"Jusuf Nurkic",0.502,0.618,0.1,9.5,2.7,1.3,1.6,14.5,1.01,-2.62,-0.88,1.23,0.05,0.33,1.7,0.25,1.06,FALSE,FALSE,FALSE,FALSE,TRUE,17.5,"C",38,16,19.1,3.46424429047986,0.37,-0.665,-2.39,1.848,3.03,5,1.14097105733136,-1.8906097228857,-6.01267363031558,5.65563484251969,8.4658186971573,12.1999816080679
"Willie Cauley-Stein",0.53,0.691,0,5.4,1.3,0.9,0.7,8.9,1.33,-1.02,-0.88,0.58,-0.27,0.42,0.67,0.15,0.99,FALSE,FALSE,FALSE,FALSE,TRUE,1.2,"C",120,5,4,3.23547344110854,0.556,-0.095,-1.18,1.506,2.28,3.57,1.71454029155739,-0.270087103269386,-2.96860036977924,4.6089751476378,6.37031901964312,8.7107868681605
"Al-Farouq Aminu",0.405,0.748,1.4,6.2,1.8,1.1,0.7,9.3,-1.16,-0.6,0.37,1.15,-0.12,0.66,0.67,-0.02,0.95,FALSE,FALSE,TRUE,FALSE,FALSE,1,"SF",180,1,1,3.1047472414678,0.88,0.775,0.6,1.082,1.28,1.61,2.71366089311241,2.20334215825026,1.50945781514199,3.31136195866142,3.57631944962421,3.92839407779787
"Manu Ginobili",0.405,0.775,0.9,1.9,2.3,0.9,0.2,5.6,-1.14,0.23,0.71,-0.33,0.5,1.31,-0.28,-0.05,0.95,FALSE,TRUE,FALSE,FALSE,FALSE,0,"SG",191,0,1.1,3.1047472414678,1.238,1.67,2.39,0.6,0.075,-0.8,3.81762748371951,4.74784697326184,6.01267363031558,1.83624507874016,0.209549967751418,-1.95199705729087
"Iman Shumpert",0.405,0.75,0.2,0.5,0.3,0.2,0.1,1.1,-0.86,0.11,0.8,-0.02,-0.05,0.69,0.09,0.06,0.82,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,2.67988709263536,0.992,1.25,1.68,0.662,0.425,0.0299999999999999,3.05903591587217,3.55377767459719,4.22648188239756,2.02599040354331,1.18744981725804,0.0731998896484073
"Kosta Koufos",0.529,0.62,0,5.4,0.8,0.5,0.7,6.3,1.43,-0.7,-0.88,0.91,-0.51,-0.1,0.81,-0.14,0.81,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,0,NA,2.64720554272517,0.392,-0.235,-1.28,1.44,2.385,3.96,1.20881257965917,-0.668110202824271,-3.2201766723029,4.40698818897638,6.6636889744951,9.6623854335898
"Matthew Dellavedova",0.392,0.816,1.2,2,3.9,0.6,0,7.2,-1.36,0.55,0.53,-0.38,1.8,0.42,-0.83,0.08,0.79,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,0,1,2.5818424429048,1.366,2.23,3.67,0.276,-0.495,-1.78,4.21234179544495,6.33993937148138,9.23285030261848,0.844672736220472,-1.38302978715936,-4.34319345247218
"Raymond Felton",0.409,0.815,0.5,2.1,2.3,0.6,0.2,5.5,-0.53,0.04,-0.06,-0.02,0.56,0.82,-0.08,0,0.73,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,2.38575314344367,0.838,1,1.27,0.604,0.415,0.1,2.5841452595775,2.84302213967775,3.19501904205054,1.84848671259843,1.15950982155785,0.243999632161358
"Luc Mbah a Moute",NA,NA,NA,NA,NA,NA,NA,NA,0.71,-0.57,-0.11,-0.26,-0.57,1.27,0.37,-0.11,0.72,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,2.35307159353349,0.47,0.095,-0.53,0.884,1.13,1.54,1.44934161336686,0.270087103269386,-1.33335440337542,2.70540108267716,3.15721951412137,3.75759433528492
"Evan Turner",0.445,0.807,0.4,4.5,4.1,1,0.3,9.8,-0.65,0.38,-0.33,0.12,0.66,0.42,-0.01,0.09,0.69,FALSE,TRUE,TRUE,FALSE,FALSE,1,"SG",140,0,1,2.25502694380293,0.832,1.045,1.4,0.582,0.42,0.15,2.56564302621537,2.97095813596325,3.5220682353313,1.78115772637795,1.17347981940794,0.365999448242038
"Brandon Jennings",0.375,0.777,1.2,2.4,4.4,0.9,0.1,8.3,-1.97,-0.22,0.53,-0.13,2.08,0.94,-0.69,0.08,0.6,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,1.96089299461124,1.078,1.795,2.99,0.0419999999999999,-0.795,-2.19,3.32423459406271,5.10322474072156,7.52213144545756,0.128537155511811,-2.22122965816503,-5.34359194433375
"Austin Rivers",0.431,0.698,1.7,2.8,3,0.9,0.2,13.2,-0.4,-0.98,1.1,-0.31,0.66,0.26,-0.49,0.72,0.56,TRUE,TRUE,FALSE,FALSE,FALSE,0,"SG",138,1,1,1.83016679497049,0.716,0.95,1.34,0.32,-0.0399999999999999,-0.64,2.20793318121419,2.70087103269386,3.3711224538171,0.979330708661417,-0.111759982800756,-1.56159764583269
"David West",NA,NA,NA,NA,NA,NA,NA,NA,0.8,-0.02,-0.83,-0.1,0.26,0.08,0.81,-0.46,0.55,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,1.7974852450603,0.432,0.255,-0.0399999999999999,0.852,1.305,2.06,1.33216080207337,0.724970645617826,-0.100630521009466,2.60746801181102,3.64616943887468,5.02639242252399
"Mike Muscala",NA,NA,NA,NA,NA,NA,NA,NA,0.63,-0.03,-0.06,0.08,-0.15,-0.29,0.57,-0.22,0.54,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,1.76480369515012,0.492,0.42,0.3,0.796,1.18,1.82,1.51718313569467,1.19406929866465,0.754728907570993,2.43608513779528,3.29691949262231,4.44079330533673
"Reggie Jackson",0.421,0.859,1.3,2.8,5.2,0.8,0.1,14.5,-0.93,0.87,0.3,-0.55,1.15,-0.13,-0.66,0.44,0.48,TRUE,FALSE,FALSE,FALSE,FALSE,1.6,"PG",102,3,1.8,1.56871439568899,0.944,1.64,2.8,0.0519999999999999,-0.59,-1.66,2.91101804897513,4.66255630907151,7.0441364706626,0.15914124015748,-1.64845974631116,-4.05039389387855
"Nene ",0.575,0.613,0.1,3.6,1.3,0.8,0.4,7.5,2.47,-2.27,-0.83,0.3,-0.38,0.51,0.5,0.14,0.44,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,1.43798819604824,-0.256,-1.3,-3.04,1.094,2.075,3.71,-0.789428623450884,-3.69592878158107,-7.64791959671939,3.34808686023622,5.79754910778924,9.0523863531864
"Rudy Gay",0.463,0.833,0.8,4.4,1.8,1,0.6,11.2,-0.04,0.76,-0.13,-0.16,-0.24,0.14,0.06,0.05,0.43,FALSE,FALSE,TRUE,TRUE,FALSE,2.5,"SF",92,5,4,1.40530664613805,0.508,0.625,0.82,0.402,0.36,0.29,1.56652242466035,1.77688883729859,2.06292568069405,1.23028420275591,1.00583984520681,0.70759893326794
"John Henson",0.548,0.658,0,2.6,0.6,0.3,0.8,3.8,0.7,-0.59,-0.88,0.37,-0.44,-0.32,1.84,-0.3,0.38,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,0,NA,1.24189889658712,-0.002,-0.575,-1.53,0.962,1.835,3.29,-0.00616741112071003,-1.63473773031471,-3.84911742861206,2.94411294291339,5.1269892109847,8.0275878981087
"Josh Richardson",NA,NA,NA,NA,NA,NA,NA,NA,-1.23,0.04,0.46,-0.27,0.17,0.63,0.54,0,0.34,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,0,2.2,1.11117269694637,0.474,0.675,1.01,0.148,-0.14,-0.62,1.46167643560828,1.91903994428248,2.54092065548901,0.452940452755906,-0.391159939802647,-1.51279771940042
"Jeremy Lamb",0.429,0.829,0.9,3.3,1.3,0.6,0.3,8.9,0.06,0.7,-0.15,0.21,-0.31,-0.38,-0.04,0.13,0.21,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,0,1.9,0.686312548113934,0.258,0.33,0.45,0.256,0.325,0.44,0.795596034571594,0.938197306093657,1.13209336135649,0.783464566929134,0.908049860256146,1.07359838150998
"Jason Smith",0.479,0.789,0.4,3.3,0.9,0.4,0.6,6.1,0.93,-0.32,-0.22,0.18,-0.59,-0.56,1.02,-0.25,0.2,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,0.653630998203746,-0.026,-0.365,-0.93,0.626,1.265,2.33,-0.0801763445692303,-1.03770308098238,-2.33965961347008,1.9158156988189,3.53440945607392,5.68519142935965
"Montrezl Harrell",0.61,0.644,0,0.9,0.4,0.1,0.2,2.3,2.65,-1.18,-0.86,-0.02,-0.38,-0.59,0.61,-0.03,0.19,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,0.620949448293559,-0.294,-1.02,-2.23,0.838,1.81,3.43,-0.906609434744374,-2.8998825824713,-5.61015154627771,2.56462229330709,5.05713922173423,8.3691873831346
"Sergio Rodriguez",NA,NA,NA,NA,NA,NA,NA,NA,-1.32,-0.21,0.76,-0.33,1.7,0.29,-0.69,-0.02,0.19,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0.620949448293559,0.64,1.315,2.44,-0.278,-0.98,-2.15,1.97357155862721,3.73857411367624,6.13846178157741,-0.850793553149606,-2.73811957861853,-5.24599209146921
"Jeremy Lin",0.411,0.811,1.3,3.3,3.9,1,0.5,12.7,-0.31,0.41,0.15,-0.44,0.51,0.08,-0.32,-0.03,0.05,TRUE,FALSE,FALSE,FALSE,FALSE,1.8,"PG",90,7,3.9,0.163407749550937,0.264,0.585,1.12,-0.164,-0.485,-1.02,0.814098267933724,1.66316795171148,2.81765458826504,-0.501906988188976,-1.35508979145917,-2.48879624804586
"Dante Cunningham",NA,NA,NA,NA,NA,NA,NA,NA,0.39,-0.36,0.39,0.27,-0.59,-0.01,0.13,-0.22,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,0,-0.112,-0.28,-0.56,0.158,0.395,0.79,-0.345375022759761,-0.79604619910977,-1.40882729413252,0.483544537401575,1.10362983015747,1.92759709407473
"Tim Frazier",0.411,0.75,0.5,1.8,3.1,0.6,0.1,5.1,-0.84,-0.11,-0.17,-0.25,1.63,0.51,-0.62,-0.16,0,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0,0.27,0.675,1.35,-0.342,-0.855,-1.71,0.832600501295854,1.91903994428248,3.39628008406947,-1.04665969488189,-2.38886963236617,-4.17239370995923
"Isaiah Whitehead",NA,NA,NA,NA,NA,NA,NA,NA,-1.07,0.26,-0.1,-0.19,0.57,0.08,0.4,0.01,-0.04,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0,0.106,0.325,0.69,-0.212,-0.47,-0.9,0.326872789397631,0.923982195395269,1.73587648741328,-0.648806594488189,-1.31317979790889,-2.19599668945223
"Spencer Dinwiddie",NA,NA,NA,NA,NA,NA,NA,NA,-0.16,0.21,-0.2,-0.29,0.52,0.14,-0.04,-0.22,-0.05,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,0,0.056,0.215,0.48,-0.148,-0.295,-0.54,0.172687511379881,0.611249760030716,1.20756625211359,-0.452940452755906,-0.824229873155578,-1.31759801367134
